publicare | User 0 firma 3 numar actiuni 5 cu pretul 4

publicare | User 0 firma 2 numar actiuni 1 cu pretul 1

publicare | User 0 firma 1 numar actiuni 1 cu pretul 5

publicare | User 0 firma 0 numar actiuni 10 cu pretul 8

publicare | User 0 firma 7 numar actiuni 1 cu pretul 2

publicare | User 0 firma 6 numar actiuni 2 cu pretul 1

publicare | User 0 firma 5 numar actiuni 6 cu pretul 4

publicare | User 0 firma 4 numar actiuni 3 cu pretul 9

publicare | User 0 firma 9 numar actiuni 4 cu pretul 8

publicare | User 0 firma 8 numar actiuni 6 cu pretul 10

publicare | User 0 firma 3 numar actiuni 3 cu pretul 4

publicare | User 0 firma 2 numar actiuni 1 cu pretul 1

publicare | User 0 firma 1 numar actiuni 7 cu pretul 5

publicare | User 0 firma 0 numar actiuni 4 cu pretul 8

publicare | User 0 firma 7 numar actiuni 1 cu pretul 2

publicare | User 0 firma 6 numar actiuni 2 cu pretul 1

publicare | User 0 firma 5 numar actiuni 7 cu pretul 4

publicare | User 0 firma 4 numar actiuni 3 cu pretul 9

publicare | User 0 firma 9 numar actiuni 8 cu pretul 8

publicare | User 0 firma 8 numar actiuni 4 cu pretul 10

publicare | User 1 firma 3 numar actiuni 6 cu pretul 3

publicare | User 1 firma 2 numar actiuni 6 cu pretul 4

publicare | User 1 firma 1 numar actiuni 4 cu pretul 2

publicare | User 1 firma 0 numar actiuni 4 cu pretul 8

publicare | User 1 firma 7 numar actiuni 1 cu pretul 2

publicare | User 1 firma 6 numar actiuni 1 cu pretul 8

publicare | User 1 firma 5 numar actiuni 1 cu pretul 8

publicare | User 1 firma 4 numar actiuni 2 cu pretul 10

publicare | User 1 firma 9 numar actiuni 2 cu pretul 2

publicare | User 1 firma 8 numar actiuni 1 cu pretul 2

publicare | User 1 firma 3 numar actiuni 6 cu pretul 3

publicare | User 1 firma 2 numar actiuni 3 cu pretul 4

publicare | User 1 firma 1 numar actiuni 3 cu pretul 2

publicare | User 1 firma 0 numar actiuni 4 cu pretul 8

publicare | User 1 firma 7 numar actiuni 1 cu pretul 2

publicare | User 1 firma 6 numar actiuni 2 cu pretul 8

publicare | User 1 firma 5 numar actiuni 1 cu pretul 8

publicare | User 1 firma 4 numar actiuni 3 cu pretul 10

publicare | User 1 firma 9 numar actiuni 5 cu pretul 2

publicare | User 1 firma 8 numar actiuni 1 cu pretul 2

publicare | User 2 firma 3 numar actiuni 3 cu pretul 3

publicare | User 2 firma 2 numar actiuni 4 cu pretul 7

publicare | User 2 firma 1 numar actiuni 2 cu pretul 1

publicare | User 2 firma 0 numar actiuni 4 cu pretul 9

publicare | User 2 firma 7 numar actiuni 2 cu pretul 6

publicare | User 2 firma 6 numar actiuni 1 cu pretul 8

publicare | User 2 firma 5 numar actiuni 5 cu pretul 8

publicare | User 2 firma 4 numar actiuni 3 cu pretul 9

publicare | User 2 firma 9 numar actiuni 3 cu pretul 5

publicare | User 2 firma 8 numar actiuni 1 cu pretul 5

publicare | User 2 firma 3 numar actiuni 9 cu pretul 3

publicare | User 2 firma 2 numar actiuni 2 cu pretul 7

publicare | User 2 firma 1 numar actiuni 1 cu pretul 1

publicare | User 2 firma 0 numar actiuni 4 cu pretul 9

publicare | User 2 firma 7 numar actiuni 2 cu pretul 6

publicare | User 2 firma 6 numar actiuni 3 cu pretul 8

publicare | User 2 firma 5 numar actiuni 7 cu pretul 8

publicare | User 2 firma 4 numar actiuni 3 cu pretul 9

publicare | User 2 firma 9 numar actiuni 4 cu pretul 5

publicare | User 2 firma 8 numar actiuni 6 cu pretul 5

publicare | User 3 firma 3 numar actiuni 1 cu pretul 3

publicare | User 3 firma 2 numar actiuni 3 cu pretul 2

publicare | User 3 firma 1 numar actiuni 7 cu pretul 5

publicare | User 3 firma 0 numar actiuni 3 cu pretul 6

publicare | User 3 firma 7 numar actiuni 3 cu pretul 9

publicare | User 3 firma 6 numar actiuni 1 cu pretul 6

publicare | User 3 firma 5 numar actiuni 1 cu pretul 2

publicare | User 3 firma 4 numar actiuni 1 cu pretul 7

publicare | User 3 firma 9 numar actiuni 2 cu pretul 8

publicare | User 3 firma 8 numar actiuni 8 cu pretul 1

publicare | User 4 firma 3 numar actiuni 1 cu pretul 4

publicare | User 4 firma 2 numar actiuni 1 cu pretul 2

publicare | User 4 firma 1 numar actiuni 1 cu pretul 9

publicare | User 4 firma 0 numar actiuni 4 cu pretul 7

publicare | User 4 firma 7 numar actiuni 2 cu pretul 2

publicare | User 4 firma 6 numar actiuni 8 cu pretul 5

publicare | User 4 firma 5 numar actiuni 1 cu pretul 6

publicare | User 4 firma 4 numar actiuni 3 cu pretul 9

publicare | User 4 firma 9 numar actiuni 1 cu pretul 5

publicare | User 4 firma 8 numar actiuni 2 cu pretul 4

publicare | User 4 firma 3 numar actiuni 4 cu pretul 4

publicare | User 4 firma 2 numar actiuni 1 cu pretul 2

publicare | User 4 firma 1 numar actiuni 2 cu pretul 9

publicare | User 4 firma 0 numar actiuni 6 cu pretul 7

publicare | User 4 firma 7 numar actiuni 4 cu pretul 2

publicare | User 4 firma 6 numar actiuni 4 cu pretul 5

publicare | User 4 firma 5 numar actiuni 1 cu pretul 6

publicare | User 4 firma 4 numar actiuni 2 cu pretul 9

publicare | User 4 firma 9 numar actiuni 1 cu pretul 5

publicare | User 4 firma 8 numar actiuni 3 cu pretul 4

publicare | User 4 firma 3 numar actiuni 4 cu pretul 4

publicare | User 4 firma 2 numar actiuni 1 cu pretul 2

publicare | User 4 firma 1 numar actiuni 2 cu pretul 9

publicare | User 4 firma 0 numar actiuni 4 cu pretul 7

publicare | User 4 firma 7 numar actiuni 1 cu pretul 2

publicare | User 4 firma 6 numar actiuni 7 cu pretul 5

publicare | User 4 firma 5 numar actiuni 3 cu pretul 6

publicare | User 4 firma 4 numar actiuni 3 cu pretul 9

publicare | User 4 firma 9 numar actiuni 1 cu pretul 5

publicare | User 4 firma 8 numar actiuni 3 cu pretul 4

publicare | User 4 firma 3 numar actiuni 3 cu pretul 4

publicare | User 4 firma 2 numar actiuni 1 cu pretul 2

publicare | User 4 firma 1 numar actiuni 2 cu pretul 9

publicare | User 4 firma 0 numar actiuni 5 cu pretul 7

publicare | User 4 firma 7 numar actiuni 4 cu pretul 2

publicare | User 4 firma 6 numar actiuni 8 cu pretul 5

publicare | User 4 firma 5 numar actiuni 2 cu pretul 6

publicare | User 4 firma 4 numar actiuni 4 cu pretul 9

publicare | User 4 firma 9 numar actiuni 1 cu pretul 5

publicare | User 4 firma 8 numar actiuni 5 cu pretul 4

publicare | User 5 firma 3 numar actiuni 2 cu pretul 8

